epoch,loss_epoch,loss_step,step,val_loss
0,,6.72906494140625,49,
0,,7.189977169036865,99,
0,,6.365777015686035,149,
0,,6.52114200592041,199,
0,,6.549339771270752,249,
0,,6.096014499664307,299,
0,,6.396854400634766,349,
0,,,372,6.266093730926514
0,6.782015800476074,,372,
1,,6.426172733306885,399,
1,,5.826228618621826,449,
1,,7.842584609985352,499,
1,,6.750949382781982,549,
1,,6.514479637145996,599,
1,,6.794034481048584,649,
1,,6.351655006408691,699,
1,,,745,6.589511871337891
1,6.775742053985596,,745,
2,,6.781317234039307,749,
2,,6.811441898345947,799,
2,,6.497345447540283,849,
2,,6.391349792480469,899,
2,,6.958196640014648,949,
2,,6.90230655670166,999,
2,,6.767759799957275,1049,
2,,6.4999775886535645,1099,
2,,,1118,6.678021430969238
2,6.774198055267334,,1118,
3,,6.258620262145996,1149,
3,,6.632363796234131,1199,
3,,6.581570148468018,1249,
3,,6.814518451690674,1299,
3,,6.496230125427246,1349,
3,,6.59426736831665,1399,
3,,6.68364143371582,1449,
3,,,1491,6.482565879821777
3,6.567367076873779,,1491,
4,,6.543084621429443,1499,
4,,6.097792625427246,1549,
4,,5.886811256408691,1599,
4,,6.332115173339844,1649,
4,,6.865419387817383,1699,
4,,6.617766857147217,1749,
4,,6.478601932525635,1799,
4,,6.400864124298096,1849,
4,,,1864,6.497821807861328
4,6.414239883422852,,1864,
5,,6.093428611755371,1899,
5,,5.783517360687256,1949,
5,,6.675082683563232,1999,
5,,6.5526580810546875,2049,
5,,6.679035186767578,2099,
5,,6.564613342285156,2149,
5,,6.598939895629883,2199,
5,,,2237,6.448517322540283
5,6.5405707359313965,,2237,
6,,6.293398380279541,2249,
6,,6.1624884605407715,2299,
6,,6.2505011558532715,2349,
6,,6.219760417938232,2399,
6,,6.193441390991211,2449,
6,,5.8046979904174805,2499,
6,,6.726902961730957,2549,
6,,6.305184841156006,2599,
6,,,2610,6.4403557777404785
6,6.248337268829346,,2610,
7,,5.962881565093994,2649,
7,,5.37388277053833,2699,
7,,6.371687889099121,2749,
7,,5.723274230957031,2799,
7,,5.919478416442871,2849,
7,,5.6271586418151855,2899,
7,,5.659732818603516,2949,
7,,,2983,5.831655979156494
7,5.955301761627197,,2983,
8,,5.7672224044799805,2999,
8,,6.247138977050781,3049,
8,,5.530420780181885,3099,
8,,5.857749938964844,3149,
8,,5.593911647796631,3199,
8,,5.6636457443237305,3249,
8,,5.607758045196533,3299,
8,,5.621601104736328,3349,
8,,,3356,5.6651611328125
8,5.780549049377441,,3356,
9,,5.712730407714844,3399,
9,,5.569992542266846,3449,
9,,5.411231994628906,3499,
9,,5.553450107574463,3549,
9,,5.4018168449401855,3599,
9,,5.517824172973633,3649,
9,,5.634948253631592,3699,
9,,,3729,5.577229976654053
9,5.635744571685791,,3729,
10,,5.318757057189941,3749,
10,,5.378132343292236,3799,
10,,5.481738090515137,3849,
10,,5.6436543464660645,3899,
10,,5.323261737823486,3949,
10,,5.317933559417725,3999,
10,,5.584104537963867,4049,
10,,5.618926525115967,4099,
10,,,4102,5.502996921539307
10,5.527659893035889,,4102,
11,,5.244429588317871,4149,
11,,5.604769706726074,4199,
11,,5.3098530769348145,4249,
11,,5.725100040435791,4299,
11,,5.351663112640381,4349,
11,,5.144923210144043,4399,
11,,5.348142623901367,4449,
11,,,4475,5.381290912628174
11,5.449713230133057,,4475,
12,,5.352781295776367,4499,
12,,5.429225921630859,4549,
