Model,BLEU-1,BLEU-2,BLEU-4,ROUGE-L,Avg Inference Time (s)
BioGPT,0.01848971228556066,0.010450456611098662,0.004316525703760363,0.03768632656195679,0.46733426923907845
BioGPT-Large,0.03895916102935722,0.013891265789312091,0.0046311082784023395,0.08616897913338366,5.81549292921989
GPT-2,0.006230427790064292,0.0027731411164791183,0.0011112062531872537,0.028383300449026268,2.597279456459804
