epoch,step,train_loss_epoch,train_loss_step,val_loss
0,9,,9.686630249023438,
0,19,,8.653457641601562,
0,29,,8.136486053466797,
0,39,,8.79280948638916,
0,49,,8.03972053527832,
0,59,,7.926339149475098,
0,69,,7.474547863006592,
0,79,,7.450972557067871,
0,89,,7.187265872955322,
0,99,,7.620954990386963,
0,109,,7.302338123321533,
0,119,,7.01589822769165,
0,129,,6.83704948425293,
0,139,,6.78077507019043,
0,149,,7.631728649139404,
0,159,,7.685678958892822,
0,169,,7.282293796539307,
0,179,,7.371257781982422,
0,189,,6.840704917907715,
0,199,,6.536959171295166,
0,209,,6.758611679077148,
0,219,,6.777419567108154,
0,229,,6.57579231262207,
0,239,,6.27299690246582,
0,249,,6.789628505706787,
0,259,,8.04238510131836,
0,269,,7.260098457336426,
0,279,,6.109084606170654,
0,289,,5.8314948081970215,
0,299,,5.2876667976379395,
0,309,,5.459626197814941,
0,319,,5.172776222229004,
0,329,,5.387988567352295,
0,339,,5.385775089263916,
0,349,,5.3185248374938965,
0,359,,5.312410831451416,
0,369,,5.301865100860596,
0,372,,,5.215729236602783
0,372,6.988574981689453,,
1,379,,5.151140213012695,
1,389,,5.180802345275879,
1,399,,5.349124908447266,
1,409,,4.9379777908325195,
1,419,,5.041555881500244,
1,429,,5.15910530090332,
1,439,,5.2260870933532715,
1,449,,5.097660541534424,
1,459,,5.221746921539307,
1,469,,5.332839488983154,
1,479,,5.054157733917236,
1,489,,5.142879962921143,
1,499,,5.247522830963135,
1,509,,5.326589107513428,
1,519,,5.183957099914551,
1,529,,5.1901397705078125,
1,539,,5.05370569229126,
1,549,,5.205002784729004,
1,559,,5.343583583831787,
1,569,,5.250566482543945,
1,579,,5.240296840667725,
1,589,,5.280182838439941,
1,599,,5.016316890716553,
1,609,,5.1406025886535645,
1,619,,5.294698715209961,
1,629,,5.387538909912109,
1,639,,5.2452311515808105,
1,649,,5.272608280181885,
1,659,,5.013101100921631,
1,669,,5.059786796569824,
1,679,,5.2243170738220215,
1,689,,5.096918106079102,
1,699,,4.808172225952148,
1,709,,5.4588446617126465,
1,719,,5.200988292694092,
1,729,,5.050325870513916,
1,739,,5.28021240234375,
1,745,,,5.120718955993652
1,745,5.171248912811279,,
2,749,,5.313694953918457,
2,759,,6.211446762084961,
2,769,,6.064573287963867,
2,779,,5.868420124053955,
2,789,,5.258707046508789,
2,799,,5.300363063812256,
2,809,,5.160220146179199,
2,819,,4.8847479820251465,
2,829,,5.058011054992676,
2,839,,5.052110195159912,
2,849,,5.0340495109558105,
2,859,,5.019183158874512,
2,869,,5.115929126739502,
2,879,,5.393891334533691,
2,889,,5.257226943969727,
2,899,,5.031907081604004,
2,909,,5.1698317527771,
2,919,,4.963009834289551,
2,929,,5.037012577056885,
2,939,,5.023171901702881,
2,949,,4.914429187774658,
2,959,,4.963132381439209,
2,969,,5.637821674346924,
2,979,,5.18885612487793,
2,989,,5.20298957824707,
2,999,,5.19094181060791,
2,1009,,5.381601810455322,
2,1019,,5.125741481781006,
2,1029,,5.066378593444824,
2,1039,,5.0412445068359375,
2,1049,,5.084349155426025,
2,1059,,4.964225769042969,
2,1069,,5.141754150390625,
2,1079,,4.962201118469238,
